,vender,url,product,description,image,live,price,quantity
23,CannonKeys,https://cannonkeys.com/products/gateron-pro-milky-brown-1-0-tactile-switch?_pos=4&_fid=c9a0afe91&_ss=c,Gateron Pro Milky Brown 1.0 Tactile Switch,The Gateron Pro Milky Brown 1.0 Switch is an enjoyable tactile stock switch with reduced stem wobble and great sound profile thanks to some upgrades!,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/ProMilkyBrown1.0Hero_1200x1200.jpg?v=1676050324,True,$16.80,70
24,CannonKeys,https://cannonkeys.com/products/gateron-mizu-mink-linear-switch?_pos=27&_fid=c9a0afe91&_ss=c,Gateron Mizu Mink Linear Switch,CannonKeys is proud to offer Gateron Mizu Mink Linear Switch! The Mizu Mink Linear Switch is based on the popular Gateron frankenswitch and features their proprietary milky top and ink bottom housing. The housing is paired with a POM stem and bottoms out at 62g for a familiar feel. Like the color and materials but want,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/20220420-IMG_6153_2_1200x1200.png?v=1652229575,True,$53.90,70
25,CannonKeys,https://cannonkeys.com/products/box-crystal-pink-switch?_pos=46&_fid=c9a0afe91&_ss=c&variant=39274394321007,Kailh BOX Crystal Pink Clicky Switch,"CannonKeys is proud to offer Kailh BOX Crystal Pink tactile switches! Available in quantities of 70, 90, and 110.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/box-pink-hero_1200x1200.png?v=1626918412,True,$40.50,70
26,CannonKeys,https://cannonkeys.com/products/jwick-yellow-linear-switch?_pos=34&_fid=c9a0afe91&_ss=c,JWICK Yellow Linear Switch,CannonKeys is proud to offer JWICK Yellow Linear Switches! The JWICK Yellow Linear Switch is a budget oriented linear switch manufactured by JWK. This lightly factory lubed linear is a fantastic option for anyone on a budget who still wants a smooth stock experience.  Like the color and materials but want to customize ,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/jwick-yellow-hero_1200x1200.png?v=1637974089,True,$16.80,70
27,CannonKeys,https://cannonkeys.com/products/gateron-pro-milky-yellow-1-0-linear-switch?_pos=25&_fid=c9a0afe91&_ss=c,Gateron Pro Milky Yellow 1.0 Linear Switch,"The Gateron Pro Milky Yellow 1.0 Linear Switch features a familiar look, and improves on the original thanks to a newer mold and some light factory lube!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/gat-milky-yellow-hero_1_1200x1200.png?v=1665784010,True,$16.80,70
28,CannonKeys,https://cannonkeys.com/products/gateron-pro-north-pole-linear-switch?_pos=9&_fid=c9a0afe91&_ss=c,Gateron Pro North Pole V2 Linear Switch,The Gateron Pro North Pole V2 Linear Switch features a clear polycarbonate top and bottom housing paired with a Gateron's proprietary Ink v2 stem!,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC6111_5e885a1f-d676-474e-9351-20ce39bac5ba_1200x1200.png?v=1658437590,True,$47.60,70
29,CannonKeys,https://cannonkeys.com/products/sunny-side-up-linear-switch?_pos=13&_fid=c9a0afe91&_ss=c,Sunny Side Up Linear Switch,"The Sunny Side Up Linear Switch is a new switch from Tecsee! This switch features HPE housing, POM stem, and a 63.5g two-stage spring for a unique linear feel!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/SunnySideUpHero_1_1200x1200.png?v=1665768757,True,$42.00,70
30,CannonKeys,https://cannonkeys.com/products/gateron-oil-king-linear-switch?_pos=8&_fid=c9a0afe91&_ss=c,Gateron Oil King Linear Switch,"CannonKeys is proud to offer Gateron Oil King Linear Switches! The Gateron Oil King Linear Switch is an all black linear switch manufactured by Gateron. This switch utilizes Gateron's proprietary Ink material for the bottom housing and features light lube, a 20mm spring, and 65g bottom out.  Like the color and material",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/CK031722-205-Edit_ab15d188-1c93-4be2-962f-d5da13d59c57_1200x1200.jpg?v=1652229585,True,$45.50,70
31,CannonKeys,https://cannonkeys.com/products/ws-kraken,WS Kraken Doubleshot PBT Keycaps,"WS Kraken Doubleshot PBT Keycaps - Designed by Mangas, WS Kraken is a new keycap set utilizing doubleshot PBT. Crisp legends and vibrant colors finally coming together with the durability PBT to create the best of both worlds! The Base Kit is extremely robust, offering split spacebars, ISO support, and 3-key 40s. Also being sold are a sea themed Novelty Kit, and an extensive 40s Kit.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/7_6938eaf7-5cd5-4d7d-9792-b3becbfb957f_1200x1200.jpg?v=1666384150,True,$85.00,Base Kit
32,CannonKeys,https://cannonkeys.com/products/durock-t1-dark-amber-switches?_pos=42&_fid=c9a0afe91&_ss=c,T1 Dark Amber Full Nylon Switch by Durock,"A CannonKeys exclusive: Durock T1 Dark Amber Switch in full nylon, available in quantities of 70, 90, and 110.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/dark-amber-hero_1200x1200.png?v=1626917951,True,$45.50,70
