,vender,url,product,description,image,price,in_stock,kit,quantity
116,Dangkeebs,https://dangkeebs.com/collections/switches/products/novelkeys-x-kailh-cream,Novelkeys x Kailh Cream,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 2mm actuation / 4.0mm travel 55g actuation / 70g bottom out Cream housing 5 pin UNLUBED from factory    Sound Test:,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8839_1200x1200.jpg?v=1605052102,$6.50,Sold out,Default Title  - Sold out," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
2mm actuation / 4.0mm travel
55g actuation / 70g bottom out
Cream housing
5 pin

UNLUBED from factory    Sound Test:   "
117,Dangkeebs,https://dangkeebs.com/collections/switches/products/commute,Commute,"It’s a moment of stillness, a moment of bliss - a long breath taking in the beauty of the dawn or dusk, before a first step onto the platform, and into the chaos of life.Commute is inspired by these moments, and a colorful sky at the start and end of daily travel to and from the places we go. Work, school, grandma’s ho",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1594_1200x1200.jpg?v=1650590488,$5.70,Sold out,Default Title  - Sold out," It’s a moment of stillness, a moment of bliss - a long breath taking in the beauty of the dawn or dusk, before a first step onto the platform, and into the chaos of life.Commute is inspired by these moments, and a colorful sky at the start and end of daily travel to and from the places we go. Work, school, grandma’s house.Purples and blues mixed with vibrant pink wrap you in their gentle embrace. It’s a slice of life, on an important tool of your life - your keyboard.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Stem: UHMWPE extended stem
Top Housing: Nylon

Bottom Housing: Nylon
Spring: 65g two-stage spring
PCB mount (5 pin)

UNLUBED from factory
Manufactured by JWK

Designed by Moyu Studio, acitrin, Chris @ Mechs & Co, and stellaidoscope         "
118,Dangkeebs,https://dangkeebs.com/collections/switches/products/ktt-sea-salt-lemon,KTT Sea Salt Lemon,"KTT Sea Salt Lemon is another one of KTT's famous budget linears. These switches feature a teal housing, and yellow stem. Similar to their other offerings, these switches are sure to provide a buttery smooth typing experience at an affordable price.    Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specif",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1457-3_1200x1200.jpg?v=1644726135,$2.70,Sold out,Default Title  - Sold out," KTT Sea Salt Lemon is another one of KTT's famous budget linears. These switches feature a teal housing, and yellow stem. Similar to their other offerings, these switches are sure to provide a buttery smooth typing experience at an affordable price.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear


Top Housing: Polycarbonate
Bottom Housing: Nylon
Stem: POM
45g actuation
4.0mm travel
Teal housing, yellow stem
5 Pin       "
119,Dangkeebs,https://dangkeebs.com/collections/switches/products/sp-star-yanyu,SP-Star Yanyu,"SP-Star Yanyus are a linear from SP-Star. This updated version features an UHMWPE blend housing, gold plated dual stage spring, and POM stem.    Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications: Linear Top Housing: Polycarbonate Bottom Housing: Nylon Stem: POM 43g bottom-out force  Dual stage g",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1486-2_1200x1200.jpg?v=1646588914,$5.90,Sold out,Default Title  - Sold out," SP-Star Yanyus are a linear from SP-Star. This updated version features an UHMWPE blend housing, gold plated dual stage spring, and POM stem.    Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications:  Linear
Top Housing: Polycarbonate
Bottom Housing: Nylon
Stem: POM
43g bottom-out force 
Dual stage gold plated spring
4.0mm travel
5 Pin
Unlubed from factory
Manufactured by SP-Star    Sound Test:         "
120,Dangkeebs,https://dangkeebs.com/collections/switches/products/ktt-mallo,KTT Mallo,"KTT Mallo's are a new light tactile from KTT inspired by the loved (or hated) Peeps marshmallows! They feature minimal pre-travel, and a well-rounded short tactile bump.  Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications: Tactile Top Housing: Polycarbonate Bottom Housing: Nylon (PA66) Stem: POM ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0832_1200x1200.jpg?v=1638135612,$3.00,Sold out,Default Title  - Sold out," KTT Mallo's are a new light tactile from KTT inspired by the loved (or hated) Peeps marshmallows! They feature minimal pre-travel, and a well-rounded short tactile bump.  Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications:  Tactile
Top Housing: Polycarbonate
Bottom Housing: Nylon (PA66)
Stem: POM
55g bottom-out force
4.0mm travel
5 Pin
Unlubed from factory
Designed by AlphaKeys
Collectible sticker included with all orders while supplies last    Sound Test:      International Vendors:  Canada: AlphaKeys     "
121,Dangkeebs,https://dangkeebs.com/collections/switches/products/jwick-ultimate-black,Jwick Ultimate Black,"Jwick Ultimate Blacks offer JWK quality at an affordable price and feature the classic combination of polycarbonate top housing, PA66 bottom housing, and POM stem. They're also lightly pre-lubed and ready to go!   Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear Stem: POM  Top Housing",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2010_1200x1200.jpg?v=1655079950,$3.00,Add to cart,Default Title," Jwick Ultimate Blacks offer JWK quality at an affordable price and feature the classic combination of polycarbonate top housing, PA66 bottom housing, and POM stem. They're also lightly pre-lubed and ready to go!    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: PA66

Spring: 63.5g bottom out

PCB mount (5 pin)

Lightly pre-lubed    Sound Test:       "
122,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-blizzard,Gateron Blizzard,"Gateron Blizzards are a sequel to the popular Gateron Silver Blizzard switches. This new version features a long pole stem, minimal pre-travel, and a unique housing combination of PA66 and POM.Quantity of 1 = 10 switches. Specifications: Tactile Top Housing: PA66 Bottom Housing: POM Stem: POM 60g actuation 3.4mm travel",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1944_1200x1200.jpg?v=1654822422,$7.00,Add to cart,Default Title," Gateron Blizzards are a sequel to the popular Gateron Silver Blizzard switches. This new version features a long pole stem, minimal pre-travel, and a unique housing combination of PA66 and POM.Quantity of 1 = 10 switches.  Specifications:  Tactile

Top Housing: PA66
Bottom Housing: POM
Stem: POM
60g actuation
3.4mm travel
5 Pin

﻿Lightly Pre-lubed       "
123,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-linear-67g,Durock Linear - 67g,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel Stem: POM  Top Housing: Polycarbonate Bottom Housing: Nylon Spring: Gold plated 67g (bottom out) PCB mount (5 pin) Lightly pre-lubed,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0363-2_1200x1200.jpg?v=1614998815,$5.50,Add to cart,Default Title," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 67g (bottom out)

PCB mount (5 pin)

Lightly pre-lubed     "
124,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-light-tactile-67g,Durock Light Tactile - 67g,"Durock Light Tactile's feature a baby tactile bump, burgundy stem, and smoky housing. They're similar to Cherry MX Browns, but with a Durock twist. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4.0mm travel Stem: POM  Top Housing: Polycarbonate Bottom Housing: Nylon Spring: Gold p",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0940-2_1200x1200.jpg?v=1619669330,$5.50,Add to cart,Default Title," Durock Light Tactile's feature a baby tactile bump, burgundy stem, and smoky housing. They're similar to Cherry MX Browns, but with a Durock twist. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
4.0mm travel
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 67g (bottom out)

PCB mount (5 pin)

Lightly pre-lubed     "
125,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-pom-linear-63-5g,Durock Pom Linear - 63.5g,Durock POM Linears utilize a proprietary POM blend in both the housing and stem of the switch. This unique material provides deeper acoustic properties without sacrificing the smooth feel of Durock switches.    Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel Stem: POM bl,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9825-3_1200x1200.jpg?v=1612226793,$7.00,Sold out,Default Title  - Sold out," Durock POM Linears utilize a proprietary POM blend in both the housing and stem of the switch. This unique material provides deeper acoustic properties without sacrificing the smooth feel of Durock switches.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
Stem: POM blend

Top Housing: POM blend

Bottom Housing: POM blend

Spring: Gold plated 63.5g (bottom out)

PCB mount (5 pin)


UNLUBED from factory    Type Test:     "
